call,slice_b,n_valid,top2_frac
675,0,3564,0.991686
676,0,3564,0.991683
677,0,3564,0.991682
678,0,3564,0.991684
679,0,3564,0.991689
680,0,3564,0.991691
681,0,3564,0.991695
682,0,3564,0.991696
683,0,3564,0.991699
684,0,3564,0.991699
685,0,3564,0.991701
686,0,3564,0.991706
687,0,3564,0.991709
688,0,3564,0.991713
689,0,3564,0.991714
690,0,3564,0.991713
691,0,3564,0.991718
692,0,3564,0.991722
693,0,3564,0.991737
694,0,3564,0.991755
695,0,3564,0.991761
696,0,3564,0.991763
697,0,3564,0.991766
698,0,3564,0.991772
699,0,3564,0.991777
700,0,3564,0.991780
701,0,4186,0.989113
702,0,4186,0.989113
703,0,4186,0.989112
704,0,4186,0.989112
705,0,4186,0.989112
706,0,4186,0.989112
707,0,4186,0.989111
708,0,4186,0.989111
709,0,4186,0.989112
710,0,4186,0.989112
711,0,4186,0.989111
712,0,4186,0.989111
713,0,4186,0.989110
714,0,4186,0.989108
715,0,4186,0.989106
716,0,4186,0.989105
717,0,4186,0.989103
718,0,4186,0.989102
719,0,4186,0.989102
720,0,4186,0.989102
721,0,4186,0.989103
722,0,4186,0.989103
723,0,4186,0.989104
724,0,4186,0.989104
725,0,4186,0.989102
726,0,4186,0.989097
727,0,4186,0.989095
728,0,4186,0.989092
729,0,4186,0.989089
730,0,4186,0.989089
731,0,4186,0.989085
732,0,4186,0.989086
733,0,4186,0.989085
734,0,4186,0.989084
735,0,4186,0.989088
736,0,4186,0.989093
737,0,4186,0.989095
738,0,4186,0.989088
739,0,4186,0.989091
740,0,4186,0.989089
741,0,4186,0.989091
742,0,4186,0.989087
743,0,4186,0.989079
744,0,4186,0.989073
745,0,4186,0.989073
746,0,4186,0.989072
747,0,4186,0.989071
748,0,4186,0.989070
749,0,4186,0.989066
750,0,4186,0.989061
751,0,2800,0.992371
752,0,2800,0.992371
753,0,2800,0.992370
754,0,2800,0.992370
755,0,2800,0.992370
756,0,2800,0.992370
757,0,2800,0.992369
758,0,2800,0.992369
759,0,2800,0.992369
760,0,2800,0.992369
761,0,2800,0.992369
762,0,2800,0.992368
763,0,2800,0.992367
764,0,2800,0.992367
765,0,2800,0.992366
766,0,2800,0.992366
767,0,2800,0.992366
768,0,2800,0.992365
769,0,2800,0.992364
770,0,2800,0.992366
771,0,2800,0.992365
772,0,2800,0.992367
773,0,2800,0.992368
774,0,2800,0.992367
775,0,2800,0.992368
776,0,2800,0.992368
777,0,2800,0.992369
778,0,2800,0.992369
779,0,2800,0.992370
780,0,2800,0.992370
781,0,2800,0.992371
782,0,2800,0.992371
783,0,2800,0.992373
784,0,2800,0.992373
785,0,2800,0.992373
786,0,2800,0.992375
787,0,2800,0.992376
788,0,2800,0.992377
789,0,2800,0.992381
790,0,2800,0.992382
791,0,2800,0.992384
792,0,2800,0.992387
793,0,2800,0.992388
794,0,2800,0.992391
795,0,2800,0.992393
796,0,2800,0.992391
797,0,2800,0.992383
798,0,2800,0.992381
799,0,2800,0.992386
800,0,2800,0.992392
801,0,4529,0.991803
802,0,4529,0.991805
803,0,4529,0.991806
804,0,4529,0.991807
805,0,4529,0.991808
806,0,4529,0.991809
807,0,4529,0.991810
808,0,4529,0.991811
809,0,4529,0.991812
810,0,4529,0.991813
